rank,title,year,worldwide_box_office,domestic_box_office,foreign_box_office,movie_url
76,Harry Potter and the Half-Blood Prince,"$638,721,689","$941,056,063","$302,334,374",32.1%,https://www.boxofficemojo.com/title/tt0417741/?ref_=bo_cso_table_76
77,Minions: The Rise of Gru,"$569,933,000","$940,482,695","$370,549,695",39.4%,https://www.boxofficemojo.com/title/tt5113044/?ref_=bo_cso_table_77
78,Shrek 2,"$487,564,260","$932,542,462","$444,978,202",47.7%,https://www.boxofficemojo.com/title/tt0298148/?ref_=bo_cso_table_78
79,Bohemian Rhapsody,"$694,145,479","$910,813,521","$216,668,042",23.8%,https://www.boxofficemojo.com/title/tt1727824/?ref_=bo_cso_table_79
80,Star Wars: Episode III - Revenge of the Sith,"$491,217,656","$905,595,947","$414,378,291",45.8%,https://www.boxofficemojo.com/title/tt0121766/?ref_=bo_cso_table_80
81,The Battle at Lake Changjin,"$902,206,065","$902,548,476","$342,411",<0.1%,https://www.boxofficemojo.com/title/tt13462900/?ref_=bo_cso_table_81
82,Harry Potter and the Goblet of Fire,"$609,196,081","$900,435,886","$291,239,805",32.3%,https://www.boxofficemojo.com/title/tt0330373/?ref_=bo_cso_table_82
83,The Lord of the Rings: The Fellowship of the Ring,"$571,332,598","$897,205,907","$325,873,309",36.3%,https://www.boxofficemojo.com/title/tt0120737/?ref_=bo_cso_table_83
84,Spider-Man 3,"$549,382,812","$887,415,130","$338,032,318",38.1%,https://www.boxofficemojo.com/title/tt0413300/?ref_=bo_cso_table_84
85,Ice Age: Dawn of the Dinosaurs,"$690,113,112","$886,686,817","$196,573,705",22.2%,https://www.boxofficemojo.com/title/tt1080016/?ref_=bo_cso_table_85
86,Harry Potter and the Chamber of Secrets,"$620,291,755","$883,386,103","$263,094,348",29.8%,https://www.boxofficemojo.com/title/tt0295297/?ref_=bo_cso_table_86
87,Spider-Man: Homecoming,"$546,025,356","$880,978,185","$334,952,829",38%,https://www.boxofficemojo.com/title/tt2250912/?ref_=bo_cso_table_87
88,Spectre,"$680,632,988","$880,707,597","$200,074,609",22.7%,https://www.boxofficemojo.com/title/tt2379713/?ref_=bo_cso_table_88
89,Ice Age: Continental Drift,"$715,922,939","$877,244,782","$161,321,843",18.4%,https://www.boxofficemojo.com/title/tt1667889/?ref_=bo_cso_table_89
90,The Secret Life of Pets,"$507,074,301","$875,698,161","$368,623,860",42.1%,https://www.boxofficemojo.com/title/tt2709768/?ref_=bo_cso_table_90
91,Batman v Superman: Dawn of Justice,"$544,002,609","$874,362,803","$330,360,194",37.8%,https://www.boxofficemojo.com/title/tt2975590/?ref_=bo_cso_table_91
92,Wolf Warrior 2,"$867,604,339","$870,325,439","$2,721,100",0.3%,https://www.boxofficemojo.com/title/tt7131870/?ref_=bo_cso_table_92
93,Jurassic World: Rebirth,"$529,505,789","$869,146,189","$339,640,400",39.1%,https://www.boxofficemojo.com/title/tt31036941/?ref_=bo_cso_table_93
94,The Twilight Saga: Breaking Dawn - Part 2,"$575,445,389","$868,590,075","$293,144,686",33.8%,https://www.boxofficemojo.com/title/tt1673434/?ref_=bo_cso_table_94
95,The Hunger Games: Catching Fire,"$440,343,699","$865,011,746","$424,668,047",49.1%,https://www.boxofficemojo.com/title/tt1951264/?ref_=bo_cso_table_95
96,Guardians of the Galaxy Vol. 2,"$473,951,113","$863,764,214","$389,813,101",45.1%,https://www.boxofficemojo.com/title/tt3896198/?ref_=bo_cso_table_96
97,Black Panther: Wakanda Forever,"$405,379,776","$859,208,836","$453,829,060",52.8%,https://www.boxofficemojo.com/title/tt9114286/?ref_=bo_cso_table_97
98,Inside Out,"$502,614,690","$859,076,401","$356,461,711",41.5%,https://www.boxofficemojo.com/title/tt2096673/?ref_=bo_cso_table_98
