rank,title,year,worldwide_box_office,domestic_box_office,foreign_box_office,movie_url
19,Avengers: Age of Ultron,"$946,012,180","$1,405,018,048","$459,005,868",32.7%,https://www.boxofficemojo.com/title/tt2395427/?ref_=bo_cso_table_19
20,The Super Mario Bros. Movie,"$785,716,594","$1,360,650,924","$574,934,330",42.2%,https://www.boxofficemojo.com/title/tt6718170/?ref_=bo_cso_table_20
21,Black Panther,"$649,499,517","$1,349,926,083","$700,426,566",51.9%,https://www.boxofficemojo.com/title/tt1825683/?ref_=bo_cso_table_21
22,Harry Potter and the Deathly Hallows: Part 2,"$961,057,753","$1,342,942,050","$381,884,297",28.4%,https://www.boxofficemojo.com/title/tt1201607/?ref_=bo_cso_table_22
23,Deadpool & Wolverine,"$701,327,787","$1,338,073,645","$636,745,858",47.6%,https://www.boxofficemojo.com/title/tt6263850/?ref_=bo_cso_table_23
24,Star Wars: Episode VIII - The Last Jedi,"$714,226,324","$1,334,407,706","$620,181,382",46.5%,https://www.boxofficemojo.com/title/tt2527336/?ref_=bo_cso_table_24
25,Frozen,"$911,122,084","$1,312,075,093","$400,953,009",30.6%,https://www.boxofficemojo.com/title/tt2294629/?ref_=bo_cso_table_25
26,Jurassic World: Fallen Kingdom,"$890,846,695","$1,308,566,455","$417,719,760",31.9%,https://www.boxofficemojo.com/title/tt4881806/?ref_=bo_cso_table_26
27,Beauty and the Beast,"$761,634,799","$1,266,115,964","$504,481,165",39.8%,https://www.boxofficemojo.com/title/tt2771200/?ref_=bo_cso_table_27
28,Incredibles 2,"$634,643,923","$1,243,225,667","$608,581,744",49%,https://www.boxofficemojo.com/title/tt3606756/?ref_=bo_cso_table_28
29,The Fate of the Furious,"$1,010,000,851","$1,236,009,236","$226,008,385",18.3%,https://www.boxofficemojo.com/title/tt4630562/?ref_=bo_cso_table_29
30,Iron Man 3,"$806,563,211","$1,215,577,205","$409,013,994",33.6%,https://www.boxofficemojo.com/title/tt1300854/?ref_=bo_cso_table_30
31,Minions,"$823,411,733","$1,159,457,503","$336,045,770",29%,https://www.boxofficemojo.com/title/tt2293640/?ref_=bo_cso_table_31
32,Captain America: Civil War,"$746,962,067","$1,155,046,416","$408,084,349",35.3%,https://www.boxofficemojo.com/title/tt3498820/?ref_=bo_cso_table_32
33,Aquaman,"$816,924,079","$1,152,028,393","$335,104,314",29.1%,https://www.boxofficemojo.com/title/tt1477834/?ref_=bo_cso_table_33
34,The Lord of the Rings: The Return of the King,"$762,102,362","$1,149,078,006","$386,975,644",33.7%,https://www.boxofficemojo.com/title/tt0167260/?ref_=bo_cso_table_34
35,Spider-Man: Far from Home,"$741,439,452","$1,132,723,226","$391,283,774",34.5%,https://www.boxofficemojo.com/title/tt6320628/?ref_=bo_cso_table_35
36,Captain Marvel,"$704,586,607","$1,131,416,446","$426,829,839",37.7%,https://www.boxofficemojo.com/title/tt4154664/?ref_=bo_cso_table_36
37,Transformers: Dark of the Moon,"$771,403,536","$1,123,794,079","$352,390,543",31.4%,https://www.boxofficemojo.com/title/tt1399103/?ref_=bo_cso_table_37
38,Skyfall,"$804,233,860","$1,108,594,137","$304,360,277",27.4%,https://www.boxofficemojo.com/title/tt1074638/?ref_=bo_cso_table_38
39,Transformers: Age of Extinction,"$859,822,637","$1,105,261,713","$245,439,076",22.2%,https://www.boxofficemojo.com/title/tt2109248/?ref_=bo_cso_table_39
40,Jurassic Park,"$695,925,336","$1,103,110,411","$407,185,075",36.9%,https://www.boxofficemojo.com/title/tt0107290/?ref_=bo_cso_table_40
41,The Dark Knight Rises,"$637,279,948","$1,085,429,532","$448,149,584",41.3%,https://www.boxofficemojo.com/title/tt1345836/?ref_=bo_cso_table_41
